rank,longitude,latitude,country,production,export,radSize
1,-14.235004,-51.92528,Brazil,56764,35539,15
2,14.058324,108.277199,Vietnam,25540,23140,10
3,4.570868,-74.297333,Colombia,14634,12898,9
4,-0.789275,113.921327,Indonesia,11491,6891,8
5,15.199999,-86.241905,Honduras,7457,7087,7
6,9.145,40.489673,Ethiopia,7297,3572,7
7,20.593684,78.96288,India,5200,2900,6
8,1.373333,32.290275,Uganda,4962,4722,6
9,-9.189967,-75.015152,Peru,4223,3973,6
10,23.634501,-102.552784,Mexico,3781,1421,6
11,15.783471,-90.230759,Guatemala,3684,3294,6
12,12.865416,-85.207229,Nicaragua,2575,2358,6
13,9.748917,-83.753428,Costa Rica,1372,1042,6
14,-6.314993,143.95555,Papua New Guinea,1171,1169,6
15,-6.369028,34.888822,Tanzania,846,755,5
16,7.539989,-5.54708,Côte d'Ivoire,817,500,5
17,-0.023559,37.906193,Kenya,783,733,5
18,-1.831239,-78.183406,Ecuador,645,490,5
19,13.794185,-88.89653,El Salvador,610,318,5
20,15.870032,100.992541,Thailand,538,0,4
21,6.42375,-66.58973,Venezuela,525,0,4
22,19.85627,102.495496,"Lao, People's Dem. Rep. of",465,315,4
23,-18.766947,46.869107,Madagascar,421,61,4
24,18.735693,-70.162651,Dominican Republic,412,22,4
25,18.971187,-72.285215,Haiti,342,2,4
26,-4.038333,21.758664,"Congo, Dem. Rep. of",324,124,4
27,7.369722,12.354722,Cameroon,292,215,3
28,9.945587,-9.696645,Guinea,270,220,3
29,-3.373056,29.918886,Burundi,249,247,3
30,-1.940278,29.873888,Rwanda,231,230,3
31,12.879721,121.774017,Philippines,215,0,3
32,15.552727,48.516388,Yemen,173,43,3
33,8.537981,-80.782127,Panama,120,53,3
34,21.521757,-77.781167,Cuba,103,0,3
35,-8.874217,125.727539,Timor-Leste,82,82,2
36,-16.290154,-63.588653,Bolivia,81,21,2
37,-11.202692,17.873887,Angola,45,15,2
38,9.081999,8.675277,Nigeria,43,3,2
39,8.460555,-11.779889,Sierra Leone,38,33,2
40,7.873054,80.771797,Sri Lanka,37,2,2
41,6.611111,20.939444,Central African Republic,37,17,2
42,8.619543,0.824782,Togo,22,22,2
43,-23.442503,-58.443832,Paraguay,20,0,1
44,-13.254308,34.301525,Malawi,20,19,1
45,18.109581,-77.297508,Jamaica,18,9,1
46,-19.015438,29.154857,Zimbabwe,15,11,1
47,-13.133897,27.849332,Zambia,13,13,1
48,6.428055,-9.429499,Liberia,12,7,1
49,10.691803,-61.222503,Trinidad & Tobago,12,2,1
50,4.860416,-58.93018,Guyana,10,1,1
51,7.946527,-1.023194,Ghana,8,6,1
52,-0.228021,15.827659,"Congo, Rep. of",3,0,1
53,28.394857,84.124008,Nepal,1,1,1
54,-0.803689,11.609444,Gabon,1,0,1
55,9.30769,2.315834,Benin,0,0,1
56,1.650801,10.267895,Equatorial Guinea,0,0,1
